grid_cell,event,fulldate,duration,cov_newclin_youth,cov_newclin_adult,cov_severe_youth,cov_severe_adult
1,1,2014-01-01,18250,0.20368345745695102,0.135788971637967,0.8,0.8
2,1,2014-01-01,18250,0.8923769405472851,0.5949179603648571,0.8923769405472851,0.8923769405472851
3,1,2014-01-01,18250,0.8923769405472851,0.5949179603648571,0.8923769405472851,0.8923769405472851
4,1,2014-01-01,18250,0.887295570702505,0.5915303804683371,0.887295570702505,0.887295570702505
5,1,2014-01-01,18250,0.892472377585652,0.5949815850571011,0.892472377585652,0.892472377585652
6,1,2014-01-01,18250,0.894917960364857,0.596611973576571,0.894917960364857,0.894917960364857
7,1,2014-01-01,18250,0.8887082341297572,0.5924721560865049,0.8887082341297572,0.8887082341297572
8,1,2014-01-01,18250,0.8872942315508909,0.591529487700594,0.8872942315508909,0.8872942315508909
9,1,2014-01-01,18250,0.887293897031199,0.5915292646874661,0.887293897031199,0.887293897031199
10,1,2014-01-01,18250,0.8021200095190641,0.53474667301271,0.8021200095190641,0.8021200095190641
11,1,2014-01-01,18250,0.8238682104036371,0.549245473602425,0.8238682104036371,0.8238682104036371
12,1,2014-01-01,18250,0.8571885191011479,0.571459012734099,0.8571885191011479,0.8571885191011479
13,1,2014-01-01,18250,0.8923769405472919,0.594917960364861,0.8923769405472919,0.8923769405472919
14,1,2014-01-01,18250,0.8651958183930499,0.576797212262033,0.8651958183930499,0.8651958183930499
15,1,2014-01-01,18250,0.819694005689438,0.5464626704596249,0.819694005689438,0.819694005689438
16,1,2014-01-01,18250,0.7996064742048059,0.533070982803204,0.8,0.8
17,1,2014-01-01,18250,0.806919737654119,0.5379464917694121,0.806919737654119,0.806919737654119
18,1,2014-01-01,18250,0.78794051587397,0.525293677249313,0.8,0.8
19,1,2014-01-01,18250,0.775964099722106,0.5173093998147371,0.8,0.8
20,1,2014-01-01,18250,0.787070979861045,0.52471398657403,0.8,0.8
21,1,2014-01-01,18250,0.77608165732829,0.517387771552194,0.8,0.8
22,1,2014-01-01,18250,0.776048605576079,0.517365737050719,0.8,0.8
23,1,2014-01-01,18250,0.8849447551713059,0.589963170114204,0.8849447551713059,0.8849447551713059
24,1,2014-01-01,18250,0.7462292823206059,0.49748618821373797,0.8,0.8
25,1,2014-01-01,18250,0.7742644739855841,0.5161763159903889,0.8,0.8
26,1,2014-01-01,18250,0.7002384224805319,0.466825614987021,0.8,0.8
27,1,2014-01-01,18250,0.679729761218845,0.453153174145897,0.8,0.8
28,1,2014-01-01,18250,0.7323061501426341,0.488204100095089,0.8,0.8
29,1,2014-01-01,18250,0.879862715536163,0.586575143690775,0.879862715536163,0.879862715536163
30,1,2014-01-01,18250,0.8542877775597858,0.569525185039857,0.8542877775597858,0.8542877775597858
31,1,2014-01-01,18250,0.810248214461647,0.540165476307764,0.810248214461647,0.810248214461647
32,1,2014-01-01,18250,0.836207162316014,0.5574714415440101,0.836207162316014,0.836207162316014
33,1,2014-01-01,18250,0.8578109107087021,0.571873940472468,0.8578109107087021,0.8578109107087021
34,1,2014-01-01,18250,0.658280891017524,0.438853927345016,0.8,0.8
35,1,2014-01-01,18250,0.658726998104917,0.439151332069944,0.8,0.8
36,1,2014-01-01,18250,0.6895978217807421,0.45973188118716096,0.8,0.8
37,1,2014-01-01,18250,0.757297377885226,0.504864918590151,0.8,0.8
38,1,2014-01-01,18250,0.8492236294326809,0.5661490862884541,0.8492236294326809,0.8492236294326809
39,1,2014-01-01,18250,0.8105203528786351,0.54034690191909,0.8105203528786351,0.8105203528786351
40,1,2014-01-01,18250,0.8344238605401508,0.5562825736934339,0.8344238605401508,0.8344238605401508
41,1,2014-01-01,18250,0.862759280000724,0.575172853333816,0.862759280000724,0.862759280000724
42,1,2014-01-01,18250,0.8738663820423109,0.582577588028207,0.8738663820423109,0.8738663820423109
43,1,2014-01-01,18250,0.820211779420583,0.546807852947055,0.820211779420583,0.820211779420583
44,1,2014-01-01,18250,0.77419930635169,0.516132870901126,0.8,0.8
45,1,2014-01-01,18250,0.684712452068955,0.45647496804597,0.8,0.8
46,1,2014-01-01,18250,0.616088410960292,0.4107256073068611,0.8,0.8
47,1,2014-01-01,18250,0.6064226269215789,0.404281751281053,0.8,0.8
48,1,2014-01-01,18250,0.8646165966307371,0.5764110644204921,0.8646165966307371,0.8646165966307371
49,1,2014-01-01,18250,0.7448624338958271,0.496574955930551,0.8,0.8
50,1,2014-01-01,18250,0.755519724397575,0.50367981626505,0.8,0.8
51,1,2014-01-01,18250,0.777252509323548,0.5181683395490321,0.8,0.8
52,1,2014-01-01,18250,0.863724515518581,0.5758163436790539,0.863724515518581,0.863724515518581
53,1,2014-01-01,18250,0.564406960719687,0.37627130714645796,0.8,0.8
54,1,2014-01-01,18250,0.7088495665038091,0.47256637766920595,0.8,0.8
55,1,2014-01-01,18250,0.6915801591242221,0.4610534394161479,0.8,0.8
56,1,2014-01-01,18250,0.702027147937845,0.46801809862523,0.8,0.8
57,1,2014-01-01,18250,0.666759510901421,0.444506340600947,0.8,0.8
58,1,2014-01-01,18250,0.82874203329148,0.5524946888609871,0.82874203329148,0.82874203329148
59,1,2014-01-01,18250,0.7998803146272591,0.533253543084839,0.8,0.8
60,1,2014-01-01,18250,0.732287508042239,0.488191672028159,0.8,0.8
61,1,2014-01-01,18250,0.735131725412463,0.490087816941642,0.8,0.8
62,1,2014-01-01,18250,0.813699690020618,0.542466460013745,0.813699690020618,0.813699690020618
63,1,2014-01-01,18250,0.5426688673356289,0.361779244890419,0.8,0.8
64,1,2014-01-01,18250,0.656653277702925,0.43776885180195,0.8,0.8
65,1,2014-01-01,18250,0.6105975212181579,0.407065014145438,0.8,0.8
66,1,2014-01-01,18250,0.8243422543878609,0.54956150292524,0.8243422543878609,0.8243422543878609
67,1,2014-01-01,18250,0.808226855303682,0.538817903535788,0.808226855303682,0.808226855303682
68,1,2014-01-01,18250,0.583985241223635,0.38932349414909007,0.8,0.8
69,1,2014-01-01,18250,0.564518593067068,0.376345728711378,0.8,0.8
70,1,2014-01-01,18250,0.6107491176834681,0.407166078455645,0.8,0.8
71,1,2014-01-01,18250,0.686779123584244,0.45785274905616297,0.8,0.8
72,1,2014-01-01,18250,0.7832704792441049,0.52218031949607,0.8,0.8
73,1,2014-01-01,18250,0.819260214752717,0.546173476501812,0.819260214752717,0.819260214752717
74,1,2014-01-01,18250,0.7934074274146808,0.528938284943121,0.8,0.8
75,1,2014-01-01,18250,0.7534583870955621,0.502305591397041,0.8,0.8
76,1,2014-01-01,18250,0.685716993295694,0.45714466219713,0.8,0.8
77,1,2014-01-01,18250,0.646123193063016,0.430748795375344,0.8,0.8
78,1,2014-01-01,18250,0.729519418556148,0.486346279037432,0.8,0.8
79,1,2014-01-01,18250,0.7795094466660841,0.519672964444056,0.8,0.8
80,1,2014-01-01,18250,0.811732592338372,0.541155061558914,0.811732592338372,0.811732592338372
81,1,2014-01-01,18250,0.795806647482568,0.530537764988378,0.8,0.8
82,1,2014-01-01,18250,0.738202574675602,0.492135049783734,0.8,0.8
83,1,2014-01-01,18250,0.6918190251409491,0.46121268342729904,0.8,0.8
84,1,2014-01-01,18250,0.6692999364401511,0.446199957626767,0.8,0.8
85,1,2014-01-01,18250,0.622732144327614,0.41515476288507597,0.8,0.8
86,1,2014-01-01,18250,0.62767763034448,0.4184517535629871,0.8,0.8
87,1,2014-01-01,18250,0.647796791604236,0.4318645277361579,0.8,0.8
88,1,2014-01-01,18250,0.6900522263452441,0.460034817563496,0.8,0.8
89,1,2014-01-01,18250,0.7719884984108009,0.514658998940534,0.8,0.8
90,1,2014-01-01,18250,0.755496513741789,0.503664342494526,0.8,0.8
91,1,2014-01-01,18250,0.591957958490277,0.394638638993518,0.8,0.8
92,1,2014-01-01,18250,0.8066508875447741,0.537767258363183,0.8066508875447741,0.8066508875447741
93,1,2014-01-01,18250,0.7810809984959219,0.520720665663948,0.8,0.8
94,1,2014-01-01,18250,0.6596981745205179,0.4397987830136789,0.8,0.8
95,1,2014-01-01,18250,0.7760289691653609,0.517352646110241,0.8,0.8
96,1,2014-01-01,18250,0.587209047241398,0.391472698160932,0.8,0.8
97,1,2014-01-01,18250,0.801569182751177,0.534379455167451,0.801569182751177,0.801569182751177
98,1,2014-01-01,18250,0.775948443008251,0.517298962005501,0.8,0.8
99,1,2014-01-01,18250,0.767298016572819,0.511532011048546,0.8,0.8
100,1,2014-01-01,18250,0.7629990335050391,0.508666022336693,0.8,0.8
101,1,2014-01-01,18250,0.53282616698827,0.3552174446588471,0.8,0.8
102,1,2014-01-01,18250,0.578703252726655,0.385802168484437,0.8,0.8
103,1,2014-01-01,18250,0.765794543977372,0.5105296959849149,0.8,0.8
104,1,2014-01-01,18250,0.7914057731639859,0.5276038487759911,0.8,0.8
105,1,2014-01-01,18250,0.782333645326433,0.521555763550956,0.8,0.8
106,1,2014-01-01,18250,0.753058031560736,0.5020386877071571,0.8,0.8
107,1,2014-01-01,18250,0.792469864237945,0.528313242825297,0.8,0.8
108,1,2014-01-01,18250,0.7680493272461321,0.512032884830755,0.8,0.8
109,1,2014-01-01,18250,0.7428691815993119,0.49524612106620797,0.8,0.8
110,1,2014-01-01,18250,0.618073691854624,0.412049127903082,0.8,0.8
111,1,2014-01-01,18250,0.802602236702395,0.535068157801597,0.802602236702395,0.802602236702395
112,1,2014-01-01,18250,0.810936714496414,0.5406244763309429,0.810936714496414,0.810936714496414
113,1,2014-01-01,18250,0.662356748252945,0.44157116550196296,0.8,0.8
114,1,2014-01-01,18250,0.683447701014186,0.45563180067612397,0.8,0.8
115,1,2014-01-01,18250,0.6916194953960251,0.46107966359735,0.8,0.8
116,1,2014-01-01,18250,0.826786022413797,0.551190681609198,0.826786022413797,0.826786022413797
117,1,2014-01-01,18250,0.7264294225211559,0.484286281680771,0.8,0.8
118,1,2014-01-01,18250,0.7385868975519531,0.492391265034635,0.8,0.8
119,1,2014-01-01,18250,0.7412597466359019,0.49417316442393394,0.8,0.8
120,1,2014-01-01,18250,0.766187783497036,0.51079185566469,0.8,0.8
121,1,2014-01-01,18250,0.554859157665312,0.36990610511020794,0.8,0.8
122,1,2014-01-01,18250,0.748781369965566,0.499187579977044,0.8,0.8
123,1,2014-01-01,18250,0.768754357139525,0.512502904759683,0.8,0.8
124,1,2014-01-01,18250,0.804316483108768,0.5362109887391789,0.804316483108768,0.804316483108768
125,1,2014-01-01,18250,0.70080328296717,0.46720218864477997,0.8,0.8
126,1,2014-01-01,18250,0.773005208824269,0.515336805882846,0.8,0.8
127,1,2014-01-01,18250,0.7705587238255991,0.513705815883733,0.8,0.8
128,1,2014-01-01,18250,0.731965507803774,0.487977005202516,0.8,0.8
129,1,2014-01-01,18250,0.484206057893075,0.322804038595383,0.8,0.8
130,1,2014-01-01,18250,0.468994819990945,0.312663213327296,0.8,0.8
131,1,2014-01-01,18250,0.516212375874491,0.344141583916327,0.8,0.8
132,1,2014-01-01,18250,0.528133126950621,0.352088751300414,0.8,0.8
133,1,2014-01-01,18250,0.8369268225323651,0.5579512150215761,0.8369268225323651,0.8369268225323651
134,1,2014-01-01,18250,0.8493414832062859,0.566227655470858,0.8493414832062859,0.8493414832062859
135,1,2014-01-01,18250,0.8180507871103841,0.5453671914069229,0.8180507871103841,0.8180507871103841
136,1,2014-01-01,18250,0.800426109010437,0.533617406006958,0.800426109010437,0.800426109010437
137,1,2014-01-01,18250,0.7527395639168071,0.5018263759445379,0.8,0.8
138,1,2014-01-01,18250,0.7048429272653071,0.46989528484353793,0.8,0.8
139,1,2014-01-01,18250,0.7780852378012042,0.518723491867469,0.8,0.8
140,1,2014-01-01,18250,0.7718754958147371,0.514583663876491,0.8,0.8
141,1,2014-01-01,18250,0.469040952173281,0.312693968115521,0.8,0.8
142,1,2014-01-01,18250,0.513375803613749,0.3422505357425,0.8,0.8
143,1,2014-01-01,18250,0.52481085816298,0.34987390544198604,0.8,0.8
144,1,2014-01-01,18250,0.835012386065242,0.556674924043495,0.835012386065242,0.835012386065242
145,1,2014-01-01,18250,0.8593104705505791,0.572873647033719,0.8593104705505791,0.8593104705505791
146,1,2014-01-01,18250,0.856859521837025,0.571239681224683,0.856859521837025,0.856859521837025
147,1,2014-01-01,18250,0.830291113765647,0.5535274091770981,0.830291113765647,0.830291113765647
148,1,2014-01-01,18250,0.820063095823243,0.546708730548829,0.820063095823243,0.820063095823243
149,1,2014-01-01,18250,0.7596182749201199,0.5064121832800801,0.8,0.8
150,1,2014-01-01,18250,0.697008361040005,0.464672240693337,0.8,0.8
151,1,2014-01-01,18250,0.756980825621295,0.5046538837475301,0.8,0.8
152,1,2014-01-01,18250,0.7831652667781341,0.52211017785209,0.8,0.8
153,1,2014-01-01,18250,0.776955524791662,0.517970349861108,0.8,0.8
154,1,2014-01-01,18250,0.356912488741589,0.237941659161059,0.8,0.8
155,1,2014-01-01,18250,0.463909464081124,0.30927297605408194,0.8,0.8
156,1,2014-01-01,18250,0.458952978139539,0.305968652093026,0.8,0.8
157,1,2014-01-01,18250,0.47160291444539004,0.31440194296359303,0.8,0.8
158,1,2014-01-01,18250,0.482678733700903,0.321785822467268,0.8,0.8
159,1,2014-01-01,18250,0.47157112248782596,0.314380748325218,0.8,0.8
160,1,2014-01-01,18250,0.458283136758992,0.305522091172662,0.8,0.8
161,1,2014-01-01,18250,0.48621929623998605,0.32414619749332396,0.8,0.8
162,1,2014-01-01,18250,0.829266168160951,0.5528441121073011,0.829266168160951,0.829266168160951
163,1,2014-01-01,18250,0.8306649581604331,0.553776638773622,0.8306649581604331,0.8306649581604331
164,1,2014-01-01,18250,0.8590672782380849,0.5727115188253901,0.8590672782380849,0.8590672782380849
165,1,2014-01-01,18250,0.8616806401436079,0.574453760095739,0.8616806401436079,0.8616806401436079
166,1,2014-01-01,18250,0.8643773362138321,0.5762515574758879,0.8643773362138321,0.8643773362138321
