grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
2,1,2015-09-01,0.6,0.9,210,30
2,2,2016-09-01,0.6,0.9,210,30
3,1,2015-09-01,0.6,0.9,210,30
3,2,2016-09-01,0.6,0.9,210,30
4,1,2015-09-01,0.6,0.9,210,30
4,2,2016-09-01,0.6,0.9,210,30
5,1,2015-09-01,0.6,0.9,210,30
5,2,2016-09-01,0.6,0.9,210,30
6,1,2015-09-01,0.6,0.9,210,30
6,2,2016-09-01,0.6,0.9,210,30
7,1,2015-09-01,0.6,0.9,210,30
7,2,2016-09-01,0.6,0.9,210,30
8,1,2015-09-01,0.6,0.9,210,30
8,2,2016-09-01,0.6,0.9,210,30
10,1,2015-09-01,0.6,0.9,210,30
10,2,2016-09-01,0.6,0.9,210,30
11,1,2015-09-01,0.6,0.9,210,30
11,2,2016-09-01,0.6,0.9,210,30
12,1,2015-09-01,0.6,0.9,210,30
12,2,2016-09-01,0.6,0.9,210,30
13,1,2015-09-01,0.6,0.9,210,30
13,2,2016-09-01,0.6,0.9,210,30
14,1,2015-09-01,0.6,0.9,210,30
14,2,2016-09-01,0.6,0.9,210,30
15,1,2015-09-01,0.6,0.9,210,30
15,2,2016-09-01,0.6,0.9,210,30
16,1,2015-09-01,0.6,0.9,210,30
16,2,2016-09-01,0.6,0.9,210,30
17,1,2015-09-01,0.6,0.9,210,30
17,2,2016-09-01,0.6,0.9,210,30
18,1,2015-09-01,0.6,0.9,210,30
18,2,2016-09-01,0.6,0.9,210,30
19,1,2015-09-01,0.6,0.9,210,30
19,2,2016-09-01,0.6,0.9,210,30
20,1,2015-09-01,0.6,0.9,210,30
20,2,2016-09-01,0.6,0.9,210,30
21,1,2015-09-01,0.6,0.9,210,30
21,2,2016-09-01,0.6,0.9,210,30
22,1,2015-09-01,0.6,0.9,210,30
22,2,2016-09-01,0.6,0.9,210,30
23,1,2015-09-01,0.6,0.9,210,30
23,2,2016-09-01,0.6,0.9,210,30
24,1,2015-09-01,0.6,0.9,210,30
24,2,2016-09-01,0.6,0.9,210,30
25,1,2015-09-01,0.6,0.9,210,30
26,1,2015-09-01,0.6,0.9,210,30
26,2,2016-09-01,0.6,0.9,210,30
27,1,2015-09-01,0.6,0.9,210,30
27,2,2016-09-01,0.6,0.9,210,30
28,1,2015-09-01,0.6,0.9,210,30
28,2,2016-09-01,0.6,0.9,210,30
29,1,2015-09-01,0.6,0.9,210,30
29,2,2016-09-01,0.6,0.9,210,30
30,1,2015-09-01,0.6,0.9,210,30
30,2,2016-09-01,0.6,0.9,210,30
31,1,2015-09-01,0.6,0.9,210,30
31,2,2016-09-01,0.6,0.9,210,30
32,1,2015-09-01,0.6,0.9,210,30
32,2,2016-09-01,0.6,0.9,210,30
33,1,2015-09-01,0.6,0.9,210,30
33,2,2016-09-01,0.6,0.9,210,30
34,1,2015-09-01,0.6,0.9,210,30
34,2,2016-09-01,0.6,0.9,210,30
35,1,2015-09-01,0.6,0.9,210,30
35,2,2016-09-01,0.6,0.9,210,30
36,1,2015-09-01,0.6,0.9,210,30
