event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
1,2014-09-01,0.6,0.9,0.5,0.6,2
2,2016-09-01,0.6,0.9,0.5,0.6,2
1,2014-09-01,0.6,0.9,0.5,0.6,3
2,2016-09-01,0.6,0.9,0.5,0.6,3
1,2014-09-01,0.6,0.9,0.5,0.6,4
2,2016-09-01,0.6,0.9,0.5,0.6,4
1,2014-09-01,0.6,0.9,0.5,0.6,5
2,2016-09-01,0.6,0.9,0.5,0.6,5
1,2014-09-01,0.6,0.9,0.5,0.6,6
2,2016-09-01,0.6,0.9,0.5,0.6,6
1,2014-09-01,0.6,0.9,0.5,0.6,7
2,2016-09-01,0.6,0.9,0.5,0.6,7
1,2014-09-01,0.6,0.9,0.5,0.6,8
2,2016-09-01,0.6,0.9,0.5,0.6,8
1,2014-09-01,0.6,0.9,0.5,0.6,10
2,2016-09-01,0.6,0.9,0.5,0.6,10
1,2014-09-01,0.6,0.9,0.5,0.6,12
2,2016-09-01,0.6,0.9,0.5,0.6,12
1,2014-09-01,0.6,0.9,0.5,0.6,13
2,2016-09-01,0.6,0.9,0.5,0.6,13
1,2014-09-01,0.6,0.9,0.5,0.6,14
2,2016-09-01,0.6,0.9,0.5,0.6,14
1,2014-09-01,0.6,0.9,0.5,0.6,15
2,2016-09-01,0.6,0.9,0.5,0.6,15
1,2014-09-01,0.6,0.9,0.5,0.6,16
2,2016-09-01,0.6,0.9,0.5,0.6,16
1,2014-09-01,0.6,0.9,0.5,0.6,18
2,2016-09-01,0.6,0.9,0.5,0.6,18
1,2014-09-01,0.6,0.9,0.5,0.6,19
2,2016-09-01,0.6,0.9,0.5,0.6,19
1,2014-09-01,0.6,0.9,0.5,0.6,20
2,2016-09-01,0.6,0.9,0.5,0.6,20
1,2014-09-01,0.6,0.9,0.5,0.6,21
2,2016-09-01,0.6,0.9,0.5,0.6,21
1,2014-09-01,0.6,0.9,0.5,0.6,22
2,2016-09-01,0.6,0.9,0.5,0.6,22
1,2014-09-01,0.6,0.9,0.5,0.6,23
2,2016-09-01,0.6,0.9,0.5,0.6,23
1,2014-09-01,0.6,0.9,0.5,0.6,24
2,2016-09-01,0.6,0.9,0.5,0.6,24
1,2014-09-01,0.6,0.9,0.5,0.6,25
2,2016-09-01,0.6,0.9,0.5,0.6,25
1,2014-09-01,0.6,0.9,0.5,0.6,27
2,2016-09-01,0.6,0.9,0.5,0.6,27
1,2014-09-01,0.6,0.9,0.5,0.6,28
2,2016-09-01,0.6,0.9,0.5,0.6,28
1,2014-09-01,0.6,0.9,0.5,0.6,29
2,2016-09-01,0.6,0.9,0.5,0.6,29
1,2014-09-01,0.6,0.9,0.5,0.6,30
2,2016-09-01,0.6,0.9,0.5,0.6,30
1,2014-09-01,0.6,0.9,0.5,0.6,31
2,2016-09-01,0.6,0.9,0.5,0.6,31
1,2014-09-01,0.6,0.9,0.5,0.6,32
2,2016-09-01,0.6,0.9,0.5,0.6,32
1,2014-09-01,0.6,0.9,0.5,0.6,33
2,2016-09-01,0.6,0.9,0.5,0.6,33
1,2014-09-01,0.6,0.9,0.5,0.6,35
2,2016-09-01,0.6,0.9,0.5,0.6,35
1,2014-09-01,0.6,0.9,0.5,0.6,36
2,2016-09-01,0.6,0.9,0.5,0.6,36
1,2014-09-01,0.6,0.9,0.5,0.6,38
2,2016-09-01,0.6,0.9,0.5,0.6,38
1,2014-09-01,0.6,0.9,0.5,0.6,39
2,2016-09-01,0.6,0.9,0.5,0.6,39
1,2014-09-01,0.6,0.9,0.5,0.6,40
2,2016-09-01,0.6,0.9,0.5,0.6,40
1,2014-09-01,0.6,0.9,0.5,0.6,41
2,2016-09-01,0.6,0.9,0.5,0.6,41
1,2014-09-01,0.6,0.9,0.5,0.6,42
2,2016-09-01,0.6,0.9,0.5,0.6,42
1,2014-09-01,0.6,0.9,0.5,0.6,43
2,2016-09-01,0.6,0.9,0.5,0.6,43
1,2014-09-01,0.6,0.9,0.5,0.6,46
2,2016-09-01,0.6,0.9,0.5,0.6,46
1,2014-09-01,0.6,0.9,0.5,0.6,47
2,2016-09-01,0.6,0.9,0.5,0.6,47
1,2014-09-01,0.6,0.9,0.5,0.6,49
2,2016-09-01,0.6,0.9,0.5,0.6,49
1,2014-09-01,0.6,0.9,0.5,0.6,50
2,2016-09-01,0.6,0.9,0.5,0.6,50
1,2014-09-01,0.6,0.9,0.5,0.6,52
2,2016-09-01,0.6,0.9,0.5,0.6,52
1,2014-09-01,0.6,0.9,0.5,0.6,54
2,2016-09-01,0.6,0.9,0.5,0.6,54
1,2014-09-01,0.6,0.9,0.5,0.6,55
2,2016-09-01,0.6,0.9,0.5,0.6,55
1,2014-09-01,0.6,0.9,0.5,0.6,56
2,2016-09-01,0.6,0.9,0.5,0.6,56
1,2014-09-01,0.6,0.9,0.5,0.6,57
2,2016-09-01,0.6,0.9,0.5,0.6,57
1,2014-09-01,0.6,0.9,0.5,0.6,58
2,2016-09-01,0.6,0.9,0.5,0.6,58
1,2014-09-01,0.6,0.9,0.5,0.6,59
2,2016-09-01,0.6,0.9,0.5,0.6,59
1,2014-09-01,0.6,0.9,0.5,0.6,60
2,2016-09-01,0.6,0.9,0.5,0.6,60
1,2014-09-01,0.6,0.9,0.5,0.6,61
2,2016-09-01,0.6,0.9,0.5,0.6,61
