event,fulldate,cov_all,grid_cell
1,2015-01-27,0.6,2
2,2015-11-19,0.6,2
3,2016-01-27,0.6,2
4,2016-11-19,0.6,2
1,2015-01-28,0.6,3
2,2015-11-19,0.6,3
3,2016-01-28,0.6,3
4,2016-11-19,0.6,3
1,2015-01-30,0.6,4
2,2015-11-19,0.6,4
3,2016-01-30,0.6,4
4,2016-11-19,0.6,4
1,2015-01-27,0.6,5
2,2015-11-19,0.6,5
3,2016-01-27,0.6,5
4,2016-11-19,0.6,5
1,2015-01-27,0.6,6
2,2015-11-18,0.6,6
3,2016-01-27,0.6,6
4,2016-11-18,0.6,6
1,2015-01-28,0.6,7
2,2015-11-20,0.6,7
3,2016-01-28,0.6,7
4,2016-11-20,0.6,7
1,2015-01-28,0.6,8
2,2015-11-19,0.6,8
3,2016-01-28,0.6,8
4,2016-11-19,0.6,8
1,2015-02-08,0.6,10
2,2015-11-19,0.6,10
3,2016-02-08,0.6,10
4,2016-11-19,0.6,10
1,2015-01-25,0.6,11
2,2015-11-18,0.6,11
3,2016-01-25,0.6,11
4,2016-11-18,0.6,11
1,2015-02-01,0.6,12
2,2015-11-27,0.6,12
3,2016-02-01,0.6,12
4,2016-11-27,0.6,12
1,2015-01-27,0.6,13
2,2015-11-19,0.6,13
3,2016-01-27,0.6,13
4,2016-11-19,0.6,13
1,2015-02-04,0.6,14
2,2015-11-20,0.6,14
3,2016-02-04,0.6,14
4,2016-11-20,0.6,14
1,2015-01-30,0.6,15
2,2015-11-20,0.6,15
3,2016-01-30,0.6,15
4,2016-11-20,0.6,15
1,2015-01-28,0.6,16
2,2015-11-19,0.6,16
3,2016-01-28,0.6,16
4,2016-11-19,0.6,16
1,2015-01-25,0.6,17
2,2015-11-18,0.6,17
3,2016-01-25,0.6,17
4,2016-11-18,0.6,17
1,2015-02-01,0.6,18
2,2015-11-19,0.6,18
3,2016-02-01,0.6,18
4,2016-11-19,0.6,18
1,2015-01-30,0.6,19
2,2015-11-19,0.6,19
3,2016-01-30,0.6,19
4,2016-11-19,0.6,19
1,2015-01-30,0.6,20
2,2015-11-22,0.6,20
